title	description
Popeye	During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.
Shot Caller	Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.
Strong Girl Bong-soon	Born with supernatural strength, Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.
Charlotte's Web	Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.
End of Watch	Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.
Hamburger Hill	The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.
Once Upon A Time In Lingjian Mountain	As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage.
The Time Machine	Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.
Brother	Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.
Dino Girl Gauko	When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.
Dolly Parton's Heartstrings	Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.
Girls und Panzer der Film	The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.
High Seas	Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal	Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.
Nailed It! Holiday!	"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad."
Narcoworld: Dope Stories	Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.
Nobody's Looking	"A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans."
Shelby American	Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.
Singapore Social	Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.
The Dragon Prince	An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.
Trolls: The Beat Goes On!	As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.
K-19: The Widowmaker	On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.
Mortel	After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder.
The Knight Before Christmas	Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.
Adore	When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.
Bangkok Buddies	Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.
Be Somebody	To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily.
Beavis and Butt-head Do America	After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.
Bebe's Kids	When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.
Bikram: Yogi, Guru, Predator	This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.
Black Snake Moan	Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.
Carriers	As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.
Dorasaani	A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.
Dream/Killer	This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
Evolution	After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.
Eye for an Eye	Grieving mother Karen McCann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality.
Holiday Secrets	A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.
Hot Rod	Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.
It Takes Two	"The Olsen twins put a cute new spin on Mark Twain's classic tale ""The Prince and the Pauper,"" playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa."
Lorena, Light-Footed Woman	Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.
Love, Rosie	Over the years, as they come and go in each other's life, childhood pals Rosie and Alex struggle to resolve the lasting, intimate bond between them.
Mallesham	A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.
Once Upon a Time in the West	In this epic spaghetti Western, a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his trans-American iron horse.
She's Out of My League	When average-guy Kirk starts dating drop-dead-gorgeous Molly, his friends don't see it lasting, so Kirk does everything he can to avoid losing Molly.
Superstar	A socially awkward Catholic schoolgirl vows to win a dreamy classmate’s affections by taking first prize at an upcoming talent show.
The Adventures of Tintin	This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy.
The Devil Inside	At once spooky and grisly, this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism.
The First Wives Club	Following a friend's suicide after her husband dumps her for a younger model, three women plot payback against their two-timing exes.
The Gift	When the authorities find a drowned woman's body, a small-town psychic starts having visions of who committed the murder.
The Goods: Live Hard, Sell Hard	Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.
The Longest Yard	Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.
The Love Guru	Raised on an ashram in India, a self-styled love guru returns to his native America to settle a romantic rivalry between two pro hockey players.
The Rainmaker	A young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company.
What's Eating Gilbert Grape	In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.
Who Killed Little Gregory?	When their 4-year-old son is murdered, a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer.
World Trade Center	Working under treacherous conditions, an army of dedicated rescuers struggles to find anyone who survived the World Trade Center's tragic collapse.
Young Adult	When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex.
Yours, Mine and Ours	When a father of eight and a mother of 10 prepare to wed, the couple's children attempt to sabotage the union in this remake of a 1968 comedy.
Zodiac	A political cartoonist, a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story.
Iliza Shlesinger: Unveiled	Here comes the bride, and she's got plenty to say. Newlywed Iliza Shlesinger dissects wedding traditions as she mines her nuptials for laughs.
Miss Culinary	After ditching her domestic life to become a chef, a clueless maid crosses paths with two charming suitors who help her reach her dreams.
No Time for Shame	Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients.
Candy Online	When a wardrobe malfunction goes viral, a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in.
The Crown	This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
Drive	A Hollywood stuntman and getaway driver is lured from his isolated life by a lovely neighbor – until her violent husband is released from prison.
Iron Sky: The Coming Race	Decades after a nuclear war, survivors on the moon revisit Earth to locate a potential power source – and find shape-shifting reptiles instead.
Jeff Dunham: All Over the Map	America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter.
Suffragette	At the beginning of the 20th century, circumstances drive a young, idealistic suffragette to find radical approaches to fighting male oppression.
The Green Inferno	Determined to save an Amazon tribe being squeezed by logging, a group of students finds nothing but trouble when their plane crashes in the jungle.
At the Dolphin Bay	Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love.
Earthquake Bird	In 1980s Tokyo, an enigmatic expat is suspected of killing her friend, who's gone missing in the wake of their love triangle with a local photographer.
El sendero de la anaconda	In the most remote areas of the Amazon jungle, a writer and his anthropologist friend meet communities who have resisted change for centuries.
GO! The Unforgettable Party	Mía's vacation with her dad is disrupted by the surprise arrival of Lupe, Mercedes, Juanma and Álvaro as their school drama moves lakeside.
Guna 369	A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.
House Arrest	A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.
I'm with the Band: Nasty Cherry	In an unfiltered, intimate docuseries, pop star mentor Charli XCX finds out what it takes to build – and break – a real, badass all-girl punk band.
Inheritors	After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich.
K-On!	When they're not gorging themselves on sugary snacks, four aspiring high school musicians crank out catchy tunes as members of the Light Music Club.
K-on! the movie	The seniors in Sakuragaoka High School's music club live out the graduation trip of their dreams when they celebrate by performing in London.
Klaus	A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.
La Robe De Mariee Des Cieux	After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined.
Leap Year	Anna chooses February 29 to propose marriage to her boyfriend, but after meeting a charming innkeeper, she must evaluate her original plans.
Llama Llama	Beloved children's book character Llama Llama springs to life in this heartwarming series about family, friendship and learning new things.
My MVP Valentine	An unfortunate accident alters the life of a high school basketball prodigy, who abandons his beloved sport and becomes entangled in a love triangle.
My Sassy Girl	A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.
SunGanges	A trio of filmmakers treks across India to explore the correlation between vanishing rivers, massive energy projects and renewable energy sources.
The 24 Hour War	An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.
The Club	A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos, the law and their families.
The Garden of Words	When a lonely teenager skips his morning classes to sit in a lovely garden, he meets a mysterious older woman who shares his feelings of alienation.
The Stranded	Trapped on an island destroyed by a tsunami, the students of an elite school try to hold on to hope. But mysterious forces seem to work against them.
The Toys That Made Us	The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.
The Yard	After a fateful domestic clash, a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter.
Westside Story	Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak.
Clarence Clemons: Who Do I Think I Am?	This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.
Fadily Camara : La plus drôle de tes copines	Irrepressible French comedian Fadily Camara weaves jokes, vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris.
My Dear Warrior	Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real.
Maradona in Mexico	In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too.
Chief of Staff	As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.
Harvey Street Kids	Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.
Jeff Garlin: Our Man In Chicago	Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction.
A Single Man	This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.
Put Your Head on My Shoulder	On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine.
Submission	After a near-death trip home, a Marine looking to help his comrade survive returns to the underground world of MMA, where new battles await.
To Be of Service	Traumatized by combat, newly returned war veterans find solace in service dogs that guide them back to a fulfilling civilian life.
Patriot Act with Hasan Minhaj	Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.
Little Things	A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.
Busted!	Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?
Greatest Events of WWII in Colour	From the attack on Pearl Harbor to D-Day, the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage.
Green Eggs and Ham	On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish.
Hit & Run	Determined to get his fiancée to L.A. to take advantage of an amazing opportunity, Charlie breaks out of the witness protection program to drive her.
Let It Snow	A snowstorm hits a small town on a cold Christmas Eve, affecting the friendships, love lives and futures of several high school seniors.
Paradise Beach	Mehdi gets out of prison, planning to settle old scores. But first, he must reconnect with his gang, now living in an idyllic beach resort in Thailand.
The Great British Baking Show: Holidays	Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith.
Wild District	After surrendering to Bogotá police, an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption.
U Turn	A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.
Burning Cane	A small-town Louisiana minister and one of his parishioners cope with grief, alcoholism and a crisis of faith in this dramatic character study.
SCAMS	Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.
Shadow	As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.
Luccas Neto in: Summer Camp	Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
Millennials	A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating.
Sam & Cat	To earn cash, roommates Sam and Cat start a baby-sitting service – and quickly discover just what an adventure baby-sitting can be.
Seth Meyers: Lobby Baby	SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.
She-Ra and the Princesses of Power	Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.
The End of the F***ing World	A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.
The Lovers	On the verge of divorce, a middle-aged couple, each involved in a serious affair, rethink their marriage and the meaning of love and fidelity.
Tune in for Love	A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years, as fate keeps pulling them apart.
Undercover Brother 2	When a beloved secret agent falls deep into a coma, his bumbling brother must defend their community from a divisive political threat.
Voice	In this remake of the Korean thriller, an esteemed detective and a talented cop join forces to nail the killer who took the lives of their loved ones.
A Holiday Engagement	Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family.
Christmas Crush	Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.
Dear Santa	Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true.
District 9	After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.
Kicking and Screaming	"After graduating, four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy."
Meet the Adebanjos	In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.
Minimalism: A Documentary About the Important Things	People dedicated to rejecting the American ideal that things bring happiness are interviewed in this documentary showing the virtues of less is more.
Oththa Seruppu Size 7	Taken into custody, a murder suspect's theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he’s accused of.
The Devil Next Door	A Cleveland grandfather is brought to trial in Israel, accused of being the infamous Nazi death camp guard known as Ivan the Terrible.
Takers	A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.
100 Things to do Before High School	Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.
A Fairly Odd Summer	In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.
Bella and the Bulldogs	The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team.
Big Time Movie	Big Time Rush heads to London for their first world tour, but when the boys' bags are switched, they get mixed up in a mission to save the world.
Don't Be Afraid of the Dark	Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there – and they might not be as friendly as Sally thinks.
Escape from Mr. Lemoncello’s Library	An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.
Hey Arnold! The Jungle Movie	When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents.
Jinxed	After a century-old curse of bad luck, a determined teen embarks on a journey to break her family’s generational misfortune.
LEGENDS OF THE HIDDEN TEMPLE	A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the ‘90s game show.
Liar, Liar, Vampire	When a shy teen transfers to a new school, he elects to mix things up by playing along with the rumor that he's a vampire.
Shark Night	A weekend of beach-house debauchery turns into a nightmare for a group of friends when they discover that the waters are infested with vicious sharks.
The Boy Who Cried Werewolf	When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her.
The Massively Mixed-Up Middle School Mystery	After the school principal gets pranked, a curious crew of preteen super sleuths tests their detective skills to solve an underwater ruse.
Victorious	When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.
100% Hotter	A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.
16 Blocks	Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.
A Remarkable Tale	The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.
A Year In Space	Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.
Ad Vitam	In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.
American History X	A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?
American Son	Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.
Anger Management	After a gentle businessman is forced to get anger management counseling, his therapist moves in – but turns out to have anger issues of his own.
Apache Warrior	Recovered cockpit footage and telling interviews reveal the true stories of US fighter pilots in one of the largest combat strikes in history.
Atypical	When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.
Barbie Dreamhouse Adventures: Go Team Roberts	As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss.
Billy on the Street	Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.
Bondi Rescue	This reality series follows elite professional lifeguards on Sydney's Bondi Beach, as they take on everything from animal stings to criminals.
Butterfield 8	Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.
Cat on a Hot Tin Roof	Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.
Christmas Break-In	Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.
Christmas in the Heartland	Two girls realize they're both visiting grandparents they’ve never met and decide to switch places to see how the other half lives.
Christmas Survival	With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday.
CLANNAD	Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.
Cleopatra Jones	A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.
Code Name: The Cleaner	A mild-mannered janitor duped into believing he's an undercover agent stumbles into an international arms ring plot involving the CIA and the FBI.
Doctor Zhivago	A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.
Drive	A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.
Elliot the Littlest Reindeer	When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts.
Enter the Dragon	Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.
Euphoria	An entrepreneur prone to partying and his estranged brother, a teacher resigned to a humdrum life, begin to bond under fragile circumstances.
Executive Decision	When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them.
Fallen	A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.
Fear and Loathing in Las Vegas	A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.
Fire in Paradise	In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became California’s deadliest wildfire.
Forbidden Planet	A pulp-fiction sci-fi classic, Forbidden Planet stars Leslie Nielsen as a heroic starship captain who finds the paradise planet Altair-IV.
Getting Played	Tired of dealing with boyfriends who wrong them, gal pals Lauren, Emily and Andrea decide to turn the tables and become the players themselves.
Gigi	Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.
Gosford Park	In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.
Gothika	After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her.
Grease	John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.
Hache	As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks.
Haikyu!!	Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.
Harlem Globetrotters: The Team That Changed the World	Relive the greatest moments of the Harlem Globetrotters with this documentary that chronicles the team's legendary 1948 defeat over the Minneapolis Lakers and their historic 1951 Berlin trip.
Hello Ninja	BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.
Highway Thru Hell	On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.
Holiday in the Wild	When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose – and potential romance.
Holly Star	Home for the holidays, a broke puppeteer knows there’s treasure buried somewhere under her town. To find it, all she has to do is die – almost.
How to Be a Latin Lover	When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor.
How to Be a Player	Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways.
Invictus	After the end of apartheid, newly elected President Nelson Mandela uses the 1995 World Cup rugby matches to unite his people in South Africa.
Jimi Hendrix	Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.
King's Ransom	A wealthy, despicable businessman comes to the realization that he may lose half his fortune to the obnoxious wife he's trying to divorce. So, he decides to arrange his own kidnapping in order to wipe himself out and claim poverty.
Legion	A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.
